axis,family,seed,representation,layer,C,n_test_attack,n_test_benign,transfer_auroc,transfer_lo,transfer_hi,indist_auroc,indist_lo,indist_hi,ratio,ratio_lo,ratio_hi,val_auroc
strategy,jailbreak,0,mean_pool,20,1.0,57,202,0.9992183428869202,0.9972207747090499,1.0,1.0,0.9999999999999999,1.0,0.9992183428869202,0.9972207747090498,1.0,0.9734811957569914
strategy,liar,0,mean_pool,20,1.0,57,202,0.9876671877714087,0.9650859822824388,0.9998262984193156,0.9812742143779595,0.9442531209642703,0.9999999999999999,1.0065149713502886,0.9720254831130124,1.0506407816396253,0.9824011571841851
strategy,monitor_manipulation,0,mean_pool,20,0.1,57,202,0.9978287302414451,0.994094146256731,1.0,1.0,0.9999999999999999,1.0,0.9978287302414451,0.994094146256731,1.0,0.9966248794599807
strategy,naive,0,mean_pool,20,1.0,57,202,0.9821087371895084,0.9627410109431995,0.9964391175959701,0.9972018941024536,0.9913904433921653,1.0,0.9848644923337916,0.9642174743790168,0.9999507295884178,0.9884281581485053
strategy,no_thinking,0,mean_pool,20,1.0,57,202,0.8941288865728678,0.8264721208963002,0.950497220774709,0.9868704261730521,0.9668532070598365,0.9991390443392165,0.9060246034934665,0.8366610101467775,0.966128133672152,0.992767598842816
strategy,selective_thinking,0,mean_pool,20,1.0,57,202,0.9635226680562793,0.9146235018238666,0.9972207747090498,0.9698665518725785,0.9057253551442099,1.0,0.9934590137127105,0.9278243359154807,1.0805946909557906,0.9836065573770492
strategy,visible_thinking,0,mean_pool,20,1.0,57,202,0.953447976376585,0.9064595275317004,0.9897537780093799,0.9978476108480413,0.9931123547137323,1.0,0.9555045940995716,0.9091063889470866,0.9929518964875119,0.9751687560270009
strategy,jailbreak,1,mean_pool,20,1.0,57,202,0.9992183428869202,0.9971339239187077,1.0,1.0,0.9999999999999999,1.0,0.9992183428869202,0.9972207747090498,1.0,0.9734811957569914
strategy,liar,1,mean_pool,20,1.0,57,202,0.9876671877714087,0.9650816397429216,0.9998262984193156,0.9812742143779595,0.9442477399913904,0.9999999999999999,1.0065149713502886,0.9722939267767908,1.0526247218116975,0.9824011571841851
strategy,monitor_manipulation,1,mean_pool,20,0.1,57,202,0.9978287302414451,0.9939204446760466,1.0,1.0,0.9999999999999999,1.0,0.9978287302414451,0.9939204446760466,1.0,0.9966248794599807
strategy,naive,1,mean_pool,20,1.0,57,202,0.9821087371895084,0.9623936077818308,0.9963522668056279,0.9972018941024536,0.9913904433921652,1.0,0.9848644923337916,0.9642124653721212,0.99996996669575,0.9884281581485053
