channel_a,channel_b,d_auroc,d_auroc_lo,d_auroc_hi,auroc_sig,d_tpr@0.01,d_tpr@0.01_lo,d_tpr@0.01_hi,d_tpr@0.01_sig,d_tpr@0.003,d_tpr@0.003_lo,d_tpr@0.003_hi,d_tpr@0.003_sig,d_tpr@0.0003,d_tpr@0.0003_lo,d_tpr@0.0003_hi,d_tpr@0.0003_sig,seed
logit_ev,emitted,0.03372434017595305,-0.010997067448680342,0.0799120234604106,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,0
logit_logodds_80,emitted,0.07771260997067453,0.019794721407624616,0.13929618768328456,True,0.12903225806451613,0.0,0.2903225806451613,False,0.12903225806451613,0.0,0.2903225806451613,False,0.12903225806451613,0.0,0.2903225806451613,False,0
probe,emitted,0.47947214076246336,0.33797653958944285,0.6239002932551319,True,0.8709677419354839,0.6774193548387097,1.0,True,0.8709677419354839,0.6774193548387097,1.0,True,0.8709677419354839,0.6774193548387097,1.0,True,0
probe,logit_ev,0.4457478005865103,0.30278592375366575,0.5931268328445746,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,0
head,probe,-0.011730205278592476,-0.03739002932551316,0.0029325513196480912,False,0.0,-0.09677419354838712,0.06451612903225812,False,0.0,-0.09677419354838712,0.06451612903225812,False,0.0,-0.09677419354838712,0.06451612903225812,False,0
ensemble,emitted,0.21664222873900296,0.1605480205278592,0.27712609970674484,True,0.25806451612903225,0.0967741935483871,0.4838709677419355,True,0.25806451612903225,0.0967741935483871,0.4838709677419355,True,0.25806451612903225,0.0967741935483871,0.4838709677419355,True,0
ensemble,logit_ev,0.1829178885630499,0.12756598240469208,0.24156891495601174,True,0.16129032258064516,0.0,0.3548387096774194,False,0.16129032258064516,0.0,0.3548387096774194,False,0.16129032258064516,0.0,0.3548387096774194,False,0
ensemble,probe,-0.2628299120234604,-0.3907624633431085,-0.14956011730205276,True,-0.6129032258064516,-0.8064516129032258,-0.3548387096774194,True,-0.6129032258064516,-0.8064516129032258,-0.3548387096774194,True,-0.6129032258064516,-0.8064516129032258,-0.3548387096774194,True,0
emitted,length_baseline,-0.17595307917888559,-0.3581378299120235,0.011730205278592365,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,0
logit_ev,length_baseline,-0.14222873900293254,-0.32258064516129037,0.04252199413489732,False,-0.03225806451612903,-0.1935483870967742,0.1935483870967742,False,-0.03225806451612903,-0.1935483870967742,0.1935483870967742,False,-0.03225806451612903,-0.1935483870967742,0.1935483870967742,False,0
probe,length_baseline,0.3035190615835778,0.18841642228738997,0.42741935483870963,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,0
logit_ev,emitted,0.03372434017595305,-0.010997067448680287,0.07917888563049857,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,1
logit_logodds_80,emitted,0.07771260997067453,0.019428152492668712,0.14039589442815242,True,0.12903225806451613,0.0,0.2903225806451613,False,0.12903225806451613,0.0,0.2903225806451613,False,0.12903225806451613,0.0,0.2903225806451613,False,1
probe,emitted,0.47947214076246336,0.33760997067448684,0.6213434750733137,True,0.8709677419354839,0.6774193548387096,1.0,True,0.8709677419354839,0.6774193548387096,1.0,True,0.8709677419354839,0.6774193548387096,1.0,True,1
probe,logit_ev,0.4457478005865103,0.30278592375366564,0.5901759530791788,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,1
head,probe,-0.024193548387096864,-0.05791788856304991,-0.0007331378299120228,True,-0.032258064516129004,-0.16129032258064513,0.06451612903225812,False,-0.032258064516129004,-0.16129032258064513,0.06451612903225812,False,-0.032258064516129004,-0.16129032258064513,0.06451612903225812,False,1
ensemble,emitted,0.21664222873900296,0.15872434017595305,0.2782258064516129,True,0.25806451612903225,0.0967741935483871,0.4838709677419355,True,0.25806451612903225,0.0967741935483871,0.4838709677419355,True,0.25806451612903225,0.0967741935483871,0.4838709677419355,True,1
ensemble,logit_ev,0.1829178885630499,0.12755681818181816,0.24156891495601174,True,0.16129032258064516,0.0,0.3548387096774194,False,0.16129032258064516,0.0,0.3548387096774194,False,0.16129032258064516,0.0,0.3548387096774194,False,1
ensemble,probe,-0.2628299120234604,-0.3870967741935484,-0.14845124633431098,True,-0.6129032258064516,-0.8064516129032258,-0.3870967741935483,True,-0.6129032258064516,-0.8064516129032258,-0.3870967741935483,True,-0.6129032258064516,-0.8064516129032258,-0.3870967741935483,True,1
emitted,length_baseline,-0.17595307917888559,-0.36180351906158353,0.0139387829912022,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,1
logit_ev,length_baseline,-0.14222873900293254,-0.321132697947214,0.038123167155425186,False,-0.03225806451612903,-0.1935483870967742,0.16129032258064518,False,-0.03225806451612903,-0.1935483870967742,0.16129032258064518,False,-0.03225806451612903,-0.1935483870967742,0.16129032258064518,False,1
probe,length_baseline,0.3035190615835778,0.189149560117302,0.42741935483870963,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,1
logit_ev,emitted,0.03372434017595305,-0.011730205278592256,0.07954545454545447,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,0.0967741935483871,-0.03225806451612903,0.2903225806451613,False,2
logit_logodds_80,emitted,0.07771260997067453,0.01979472140762467,0.14039589442815237,True,0.12903225806451613,0.0,0.2903225806451613,False,0.12903225806451613,0.0,0.2903225806451613,False,0.12903225806451613,0.0,0.2903225806451613,False,2
probe,emitted,0.47947214076246336,0.33247800586510257,0.6220674486803519,True,0.8709677419354839,0.6774193548387096,1.0,True,0.8709677419354839,0.6774193548387096,1.0,True,0.8709677419354839,0.6774193548387096,1.0,True,2
probe,logit_ev,0.4457478005865103,0.30130131964809387,0.592375366568915,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,0.7741935483870968,0.5806451612903225,0.935483870967742,True,2
head,probe,-0.02565982404692102,-0.07184750733137812,0.0,False,-0.032258064516129004,-0.16129032258064513,0.06451612903225812,False,-0.032258064516129004,-0.16129032258064513,0.06451612903225812,False,-0.032258064516129004,-0.16129032258064513,0.06451612903225812,False,2
ensemble,emitted,0.21664222873900296,0.15799120234604103,0.27712609970674484,True,0.25806451612903225,0.09677419354838712,0.4838709677419355,True,0.25806451612903225,0.09677419354838712,0.4838709677419355,True,0.25806451612903225,0.09677419354838712,0.4838709677419355,True,2
ensemble,logit_ev,0.1829178885630499,0.12609970674486803,0.24193548387096775,True,0.16129032258064516,0.0,0.3548387096774194,False,0.16129032258064516,0.0,0.3548387096774194,False,0.16129032258064516,0.0,0.3548387096774194,False,2
ensemble,probe,-0.2628299120234604,-0.39039589442815237,-0.14735153958944294,True,-0.6129032258064516,-0.8064516129032258,-0.3548387096774194,True,-0.6129032258064516,-0.8064516129032258,-0.3548387096774194,True,-0.6129032258064516,-0.8064516129032258,-0.3548387096774194,True,2
emitted,length_baseline,-0.17595307917888559,-0.3621792521994135,0.01502932551319636,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,-0.12903225806451613,-0.2903225806451613,0.06451612903225806,False,2
logit_ev,length_baseline,-0.14222873900293254,-0.32258064516129037,0.04472140762463339,False,-0.03225806451612903,-0.1935483870967742,0.1935483870967742,False,-0.03225806451612903,-0.1935483870967742,0.1935483870967742,False,-0.03225806451612903,-0.1935483870967742,0.1935483870967742,False,2
probe,length_baseline,0.3035190615835778,0.1876649560117303,0.4252382697947212,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,0.7419354838709677,0.5806451612903225,0.903225806451613,True,2
