channel,n,n_distinct,n_tied_at_max,max_value,distinct_in_top_1pct,n_in_top_1pct,max_plateau_fraction_of_negatives,resolution_floor_fpr,largest_plateau,fraction_in_any_tie
emitted,226,15,1,95.0,2,2,0.0,0.06349206349206349,65,0.9867256637168141
logit_ev,226,226,1,90.52796328772712,2,2,0.0,0.007936507936507936,1,0.0
logit_logodds_50,226,226,1,9.925350704464618,2,2,0.0,0.007936507936507936,1,0.0
logit_logodds_80,226,226,1,3.3774397342204407,2,2,0.0,0.007936507936507936,1,0.0
logit_logodds_90,226,226,1,0.1170171879863017,2,2,0.0,0.007936507936507936,1,0.0
probe,226,226,1,1.0,2,2,0.0,0.007936507936507936,1,0.0
head,226,201,1,1.0,2,2,0.0,0.007936507936507936,3,0.2168141592920354
length_baseline,226,225,1,160642.0,2,2,0.007936507936507936,0.007936507936507936,2,0.008849557522123894
ensemble,226,204,1,0.967551622418879,2,2,0.0,0.007936507936507936,3,0.1902654867256637
