channel,ece
emitted,0.22106194690265488
logit_ev,0.194309967662765
logit_logodds_50,0.28695410369299773
logit_logodds_80,0.33931512922885726
logit_logodds_90,0.43079420608428354
probe,0.20238468165087325
head,0.21124729161772
length_baseline,0.5575221238938053
