channel,n,n_distinct,n_tied_at_max,max_value,distinct_in_top_1pct,n_in_top_1pct,max_plateau_fraction_of_negatives,resolution_floor_fpr,largest_plateau,fraction_in_any_tie,n_negatives,fpr_floor,tpr@0.01,reachable@0.01,tpr@0.003,reachable@0.003,tpr@0.0003,reachable@0.0003,auroc,auroc_lo,auroc_hi
emitted,905,18,7,95.0,2,9,0.0,0.07312252964426877,255,0.9966850828729282,506,0.001976284584980237,0.017543859649122806,True,0.017543859649122806,True,0.017543859649122806,False,0.655368658801153,0.6200925361823532,0.6899317215964813
logit_ev,905,905,1,94.62927177029012,9,9,0.0,0.001976284584980237,1,0.0,506,0.001976284584980237,0.14536340852130325,True,0.08020050125313283,True,0.07518796992481203,False,0.6748739437526623,0.6396271063033077,0.7097440983882632
logit_logodds_80,905,905,1,5.094262025670348,9,9,0.0,0.001976284584980237,1,0.0,506,0.001976284584980237,0.15288220551378445,True,0.09774436090225563,True,0.09273182957393483,False,0.6757902661792822,0.6403111286120439,0.7105964020723746
length_baseline,905,897,1,239946.0,9,9,0.001976284584980237,0.001976284584980237,2,0.017679558011049725,506,0.001976284584980237,0.010025062656641603,True,0.0,True,0.0,False,0.5136631103450325,0.47625975759557,0.5507201798963813
