representation,layer,val_auroc_mean,val_auroc_std,val_auroc_min,val_auroc_max,train_auroc_mean,train_auroc_std,train_auroc_min,train_auroc_max
mean_pool,0,0.9932017543859648,0.0,0.9932017543859648,0.9932017543859648,0.9985961242017177,0.0,0.9985961242017176,0.9985961242017176
mean_pool,2,0.9962719298245616,0.0,0.9962719298245616,0.9962719298245616,1.0,0.0,1.0,1.0
mean_pool,4,0.9942982456140351,0.0,0.9942982456140352,0.9942982456140352,1.0,0.0,1.0,1.0
mean_pool,6,0.9967105263157897,0.0,0.9967105263157896,0.9967105263157896,1.0,0.0,1.0,1.0
mean_pool,8,0.9967105263157897,0.0,0.9967105263157896,0.9967105263157896,1.0,0.0,1.0,1.0
mean_pool,10,0.9962719298245614,0.0,0.9962719298245614,0.9962719298245614,0.998788813036776,0.0,0.998788813036776,0.998788813036776
mean_pool,12,0.9945175438596493,0.0,0.9945175438596492,0.9945175438596492,0.9991604272186744,0.0,0.9991604272186744,0.9991604272186744
mean_pool,14,0.9949561403508772,0.0,0.9949561403508772,0.9949561403508772,0.9994907509359172,0.0,0.9994907509359172,0.9994907509359172
mean_pool,16,0.9964912280701754,0.0,0.9964912280701754,0.9964912280701754,1.0,0.0,1.0,1.0
mean_pool,18,0.9971491228070176,0.0,0.9971491228070176,0.9971491228070176,1.0,0.0,1.0,1.0
mean_pool,20,0.9982456140350876,0.0,0.9982456140350876,0.9982456140350876,1.0,0.0,1.0,1.0
mean_pool,22,0.9973684210526316,0.0,0.9973684210526316,0.9973684210526316,1.0,0.0,1.0,1.0
mean_pool,24,0.9962719298245616,0.0,0.9962719298245616,0.9962719298245616,1.0,0.0,1.0,1.0
mean_pool,26,0.9958333333333332,0.0,0.9958333333333332,0.9958333333333332,1.0,0.0,1.0,1.0
mean_pool,27,0.9956140350877192,0.0,0.9956140350877192,0.9956140350877192,1.0,0.0,1.0,1.0
score_pos,0,0.9083333333333335,0.0,0.9083333333333334,0.9083333333333334,0.9946735300594582,0.0,0.9946735300594582,0.9946735300594582
score_pos,2,0.9464912280701755,0.0,0.9464912280701754,0.9464912280701754,1.0,0.0,1.0,1.0
score_pos,4,0.9269736842105264,0.0,0.9269736842105264,0.9269736842105264,0.9894984584893196,0.0,0.9894984584893196,0.9894984584893196
score_pos,6,0.931798245614035,0.0,0.931798245614035,0.931798245614035,1.0,0.0,1.0,1.0
score_pos,8,0.9144736842105264,0.0,0.9144736842105264,0.9144736842105264,1.0,0.0,1.0,1.0
score_pos,10,0.9052631578947367,0.0,0.9052631578947368,0.9052631578947368,1.0,0.0,1.0,1.0
score_pos,12,0.9100877192982456,0.0,0.9100877192982456,0.9100877192982456,0.9930356749614622,0.0,0.9930356749614622,0.9930356749614622
score_pos,14,0.9234649122807018,0.0,0.9234649122807018,0.9234649122807018,0.9935449240255453,0.0,0.9935449240255452,0.9935449240255452
score_pos,16,0.9302631578947368,0.0,0.9302631578947368,0.9302631578947368,0.994604712618366,0.0,0.994604712618366,0.994604712618366
score_pos,18,0.9287280701754387,0.0,0.9287280701754386,0.9287280701754386,1.0,0.0,1.0,1.0
score_pos,20,0.9168859649122806,0.0,0.9168859649122806,0.9168859649122806,1.0,0.0,1.0,1.0
score_pos,22,0.9021929824561402,0.0,0.9021929824561402,0.9021929824561402,1.0,0.0,1.0,1.0
score_pos,24,0.8585526315789472,0.0,0.8585526315789472,0.8585526315789472,1.0,0.0,1.0,1.0
score_pos,26,0.881140350877193,0.0,0.881140350877193,0.881140350877193,1.0,0.0,1.0,1.0
score_pos,27,0.8732456140350878,0.0,0.8732456140350877,0.8732456140350877,1.0,0.0,1.0,1.0
