channel,lo,hi,n,confidence,accuracy
emitted,0.0,0.1,75,0.009866666666666666,0.3466666666666667
emitted,0.1,0.2,15,0.20000000000000007,0.26666666666666666
emitted,0.2,0.30000000000000004,10,0.29999999999999993,0.4
emitted,0.30000000000000004,0.4,3,0.4000000000000001,0.6666666666666666
emitted,0.4,0.5,3,0.48333333333333334,0.3333333333333333
emitted,0.5,0.6000000000000001,34,0.6000000000000001,0.3235294117647059
emitted,0.6000000000000001,0.7000000000000001,41,0.651219512195122,0.4878048780487805
emitted,0.7000000000000001,0.8,11,0.75,0.5454545454545454
emitted,0.8,0.9,33,0.85,0.7575757575757576
emitted,0.9,1.0,1,0.95,1.0
logit_ev,0.0,0.1,67,0.006602096602085719,0.373134328358209
logit_ev,0.1,0.2,8,0.15958191766608865,0.125
logit_ev,0.2,0.30000000000000004,9,0.2591843506095859,0.2222222222222222
logit_ev,0.30000000000000004,0.4,7,0.3421993494584576,0.42857142857142855
logit_ev,0.4,0.5,16,0.45154253591862625,0.3125
logit_ev,0.5,0.6000000000000001,36,0.5650400943161277,0.3888888888888889
logit_ev,0.6000000000000001,0.7000000000000001,40,0.6455704183836041,0.45
logit_ev,0.7000000000000001,0.8,28,0.7480515152403948,0.7142857142857143
logit_ev,0.8,0.9,14,0.8366693295887359,0.7857142857142857
logit_ev,0.9,1.0,1,0.9052796328772712,1.0
logit_logodds_50,0.0,0.1,83,0.00872244355168724,0.3373493975903614
logit_logodds_50,0.1,0.2,7,0.13743487883533723,0.42857142857142855
logit_logodds_50,0.2,0.30000000000000004,9,0.24978442390960456,0.4444444444444444
logit_logodds_50,0.30000000000000004,0.4,6,0.3733720636481539,0.16666666666666666
logit_logodds_50,0.4,0.5,6,0.4521509332749843,0.3333333333333333
logit_logodds_50,0.5,0.6000000000000001,15,0.5627975670354597,0.3333333333333333
logit_logodds_50,0.6000000000000001,0.7000000000000001,18,0.640800685583384,0.4444444444444444
logit_logodds_50,0.7000000000000001,0.8,19,0.7634533861127679,0.42105263157894735
logit_logodds_50,0.8,0.9,16,0.8514698059012613,0.4375
logit_logodds_50,0.9,1.0,47,0.9729159395384452,0.723404255319149
logit_logodds_80,0.0,0.1,161,0.016581394342639874,0.35403726708074534
logit_logodds_80,0.1,0.2,21,0.13676286686801253,0.47619047619047616
logit_logodds_80,0.2,0.30000000000000004,12,0.2342672214866195,0.75
logit_logodds_80,0.30000000000000004,0.4,9,0.3555812407488904,0.8888888888888888
logit_logodds_80,0.4,0.5,5,0.42214889228514674,0.6
logit_logodds_80,0.5,0.6000000000000001,5,0.5477445982538578,0.2
logit_logodds_80,0.6000000000000001,0.7000000000000001,3,0.6464436115502272,1.0
logit_logodds_80,0.7000000000000001,0.8,5,0.7728453851758118,0.8
logit_logodds_80,0.8,0.9,1,0.8823722791011354,1.0
logit_logodds_80,0.9,1.0,4,0.9259416916295541,1.0
logit_logodds_90,0.0,0.1,220,0.005253957297221264,0.42727272727272725
logit_logodds_90,0.1,0.2,3,0.14771753210068342,1.0
logit_logodds_90,0.2,0.30000000000000004,2,0.2561326311316671,1.0
logit_logodds_90,0.30000000000000004,0.4,0,,
logit_logodds_90,0.4,0.5,0,,
logit_logodds_90,0.5,0.6000000000000001,1,0.5292209609978319,1.0
logit_logodds_90,0.6000000000000001,0.7000000000000001,0,,
logit_logodds_90,0.7000000000000001,0.8,0,,
logit_logodds_90,0.8,0.9,0,,
logit_logodds_90,0.9,1.0,0,,
probe,0.0,0.1,22,0.050884955752212385,0.0
probe,0.1,0.2,23,0.1504424778761062,0.0
probe,0.2,0.30000000000000004,22,0.25,0.045454545454545456
probe,0.30000000000000004,0.4,23,0.3495575221238938,0.0
probe,0.4,0.5,23,0.4513274336283185,0.0
probe,0.5,0.6000000000000001,22,0.5508849557522124,0.45454545454545453
probe,0.6000000000000001,0.7000000000000001,23,0.6504424778761063,0.9565217391304348
probe,0.7000000000000001,0.8,22,0.75,0.9545454545454546
probe,0.8,0.9,23,0.8495575221238937,1.0
probe,0.9,1.0,23,0.9513274336283185,1.0
head,0.0,0.1,20,0.05604719764011799,0.0
head,0.1,0.2,22,0.1438723518369536,0.0
head,0.2,0.30000000000000004,26,0.24353301565690946,0.0
head,0.30000000000000004,0.4,22,0.34627245910431753,0.0
head,0.4,0.5,22,0.4476401179941002,0.09090909090909091
head,0.5,0.6000000000000001,23,0.5450814415800949,0.34782608695652173
head,0.6000000000000001,0.7000000000000001,22,0.6498390989541434,0.9545454545454546
head,0.7000000000000001,0.8,22,0.745172968624296,1.0
head,0.8,0.9,25,0.8499115044247787,1.0
head,0.9,1.0,22,0.9518637704478412,1.0
length_baseline,0.0,0.1,0,,
length_baseline,0.1,0.2,0,,
length_baseline,0.2,0.30000000000000004,0,,
length_baseline,0.30000000000000004,0.4,0,,
length_baseline,0.4,0.5,0,,
length_baseline,0.5,0.6000000000000001,0,,
length_baseline,0.6000000000000001,0.7000000000000001,0,,
length_baseline,0.7000000000000001,0.8,0,,
length_baseline,0.8,0.9,0,,
length_baseline,0.9,1.0,226,1.0,0.4424778761061947
