value,n,n_attack,n_benign
95.0,1,1,0
85.0,33,25,8
75.0,11,6,5
70.0,1,0,1
65.0,40,20,20
60.0,34,11,23
50.0,2,1,1
45.0,1,0,1
40.0,3,2,1
30.0,10,4,6
20.0,15,4,11
10.0,6,1,5
6.0,2,0,2
1.0,2,2,0
0.0,65,23,42
