channel,auroc,lo,hi,d_vs_structure,d_lo,d_hi,beats_structure
logit_ev,0.6377880184331798,0.5719285714285716,0.7012453917050692,-0.12728110599078346,-0.21272004608294934,-0.044419354838709714,False
logit_logodds_50,0.616774193548387,0.5505057603686636,0.6807407834101382,-0.14829493087557621,-0.23498156682027646,-0.062063364055299435,False
logit_logodds_80,0.6629953917050692,0.5970506912442397,0.7261762672811058,-0.10207373271889408,-0.18806682027649774,-0.017273041474654194,False
logit_logodds_90,0.7017972350230416,0.6397235023041474,0.7603237327188941,-0.06327188940092165,-0.14263479262672796,0.017743087557603544,False
emitted,0.6065437788018433,0.5390305299539171,0.6711296082949308,-0.15852534562211995,-0.24387672811059907,-0.07607949308755753,False
length_baseline,0.6096313364055299,0.54313133640553,0.6735990783410138,-0.15543778801843333,-0.24185944700460826,-0.06704838709677434,False
