channel,channel_auroc,channel_lo,channel_hi,d_ensemble_minus_channel,d_lo,d_hi,ensemble_better
emitted,0.500733137829912,0.3621700879765396,0.6389387829912022,0.21664222873900296,0.1605480205278592,0.27712609970674484,True
logit_ev,0.5344574780058651,0.39222873900293254,0.6715542521994134,0.1829178885630499,0.12756598240469208,0.24156891495601174,True
logit_logodds_50,0.49266862170087977,0.3548387096774194,0.6297653958944281,0.2247067448680352,0.16128115835777132,0.28958944281524923,True
logit_logodds_80,0.5784457478005866,0.4391312316715544,0.7096957478005863,0.13892961876832843,0.0773460410557184,0.20601173020527852,True
logit_logodds_90,0.6400293255131966,0.5109970674486803,0.7639296187683284,0.0773460410557184,-0.017595307917888547,0.17155425219941345,False
probe,0.9802052785923754,0.9420821114369502,1.0,-0.2628299120234604,-0.3907624633431085,-0.14956011730205276,False
head,0.9618768328445748,0.9072489002932551,0.999266862170088,-0.24450146627565983,-0.37500916422287384,-0.12535740469208215,False
length_baseline,0.6766862170087976,0.5483870967741935,0.7961876832844575,0.04068914956011738,-0.11987719941348976,0.2001649560117301,False
