bin_lo,bin_hi,attack,benign
0,5,11,9
5,10,1,1
10,15,0,4
15,20,0,0
20,25,1,5
25,30,0,0
30,35,1,1
35,40,0,0
40,45,0,0
45,50,0,0
50,55,0,0
55,60,0,0
60,65,5,5
65,70,3,13
70,75,0,0
75,80,2,3
80,85,0,0
85,90,7,3
90,95,0,0
95,100,0,0
