representation,layer,val_auroc_mean,val_auroc_std,val_auroc_min,val_auroc_max,train_auroc_mean,train_auroc_std,train_auroc_min,train_auroc_max
mean_pool,0,0.9757085020242914,0.0,0.9757085020242914,0.9757085020242914,1.0,0.0,1.0,1.0
mean_pool,2,0.9817813765182186,0.0,0.9817813765182186,0.9817813765182186,1.0,0.0,1.0,1.0
mean_pool,4,0.9635627530364372,0.0,0.9635627530364372,0.9635627530364372,1.0,0.0,1.0,1.0
mean_pool,6,0.9878542510121456,0.0,0.9878542510121456,0.9878542510121456,1.0,0.0,1.0,1.0
mean_pool,8,0.9959514170040488,0.0,0.9959514170040488,0.9959514170040488,1.0,0.0,1.0,1.0
mean_pool,10,0.9939271255060728,0.0,0.9939271255060728,0.9939271255060728,1.0,0.0,1.0,1.0
mean_pool,12,0.9939271255060728,0.0,0.9939271255060728,0.9939271255060728,1.0,0.0,1.0,1.0
mean_pool,14,0.9939271255060728,0.0,0.9939271255060728,0.9939271255060728,1.0,0.0,1.0,1.0
mean_pool,16,0.9959514170040488,0.0,0.9959514170040488,0.9959514170040488,1.0,0.0,1.0,1.0
mean_pool,18,0.9939271255060728,0.0,0.9939271255060728,0.9939271255060728,1.0,0.0,1.0,1.0
mean_pool,20,0.9939271255060728,0.0,0.9939271255060728,0.9939271255060728,1.0,0.0,1.0,1.0
mean_pool,22,0.9878542510121456,0.0,0.9878542510121456,0.9878542510121456,1.0,0.0,1.0,1.0
mean_pool,24,0.979757085020243,0.0,0.9797570850202428,0.9797570850202428,1.0,0.0,1.0,1.0
mean_pool,26,0.9615384615384616,0.0,0.9615384615384616,0.9615384615384616,1.0,0.0,1.0,1.0
mean_pool,27,0.9676113360323887,0.0,0.9676113360323886,0.9676113360323886,1.0,0.0,1.0,1.0
score_pos,0,0.8704453441295547,0.0,0.8704453441295547,0.8704453441295547,0.9985842985842986,0.0,0.9985842985842986,0.9985842985842986
score_pos,2,0.888663967611336,0.0,0.888663967611336,0.888663967611336,1.0,0.0,1.0,1.0
score_pos,4,0.902834008097166,0.0,0.902834008097166,0.902834008097166,1.0,0.0,1.0,1.0
score_pos,6,0.8947368421052632,0.0,0.8947368421052632,0.8947368421052632,1.0,0.0,1.0,1.0
score_pos,8,0.9068825910931174,0.0,0.9068825910931174,0.9068825910931174,1.0,0.0,1.0,1.0
score_pos,10,0.8724696356275303,0.0,0.8724696356275303,0.8724696356275303,1.0,0.0,1.0,1.0
score_pos,12,0.9251012145748988,0.0,0.9251012145748988,0.9251012145748988,1.0,0.0,1.0,1.0
score_pos,14,0.8906882591093117,0.0,0.8906882591093117,0.8906882591093117,1.0,0.0,1.0,1.0
score_pos,16,0.8906882591093118,0.0,0.8906882591093118,0.8906882591093118,1.0,0.0,1.0,1.0
score_pos,18,0.9331983805668016,0.0,0.9331983805668016,0.9331983805668016,1.0,0.0,1.0,1.0
score_pos,20,0.9190283400809717,0.0,0.9190283400809716,0.9190283400809716,1.0,0.0,1.0,1.0
score_pos,22,0.9190283400809717,0.0,0.9190283400809716,0.9190283400809716,1.0,0.0,1.0,1.0
score_pos,24,0.9089068825910932,0.0,0.9089068825910932,0.9089068825910932,1.0,0.0,1.0,1.0
score_pos,26,0.9048582995951416,0.0,0.9048582995951416,0.9048582995951416,1.0,0.0,1.0,1.0
score_pos,27,0.9251012145748988,0.0,0.9251012145748988,0.9251012145748988,1.0,0.0,1.0,1.0
