channel,usable@0.1,usable@0.05,usable@0.02,usable@0.01,usable@0.005,usable@0.003,usable@0.001,usable@0.0003,usable@0.0001,tpr@0.01,tpr_randomtie@0.01,tpr@0.003,tpr_randomtie@0.003,tpr@0.0003,tpr_randomtie@0.0003
emitted,True,False,False,False,False,False,False,False,False,0.0,0.05774193548387096,0.0,0.05161290322580645,0.0,0.058064516129032254
logit_ev,True,True,True,True,True,True,True,True,True,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871
logit_logodds_50,True,True,True,True,True,True,True,True,True,0.03225806451612903,0.032258064516129024,0.03225806451612903,0.032258064516129024,0.03225806451612903,0.032258064516129024
logit_logodds_80,True,True,True,True,True,True,True,True,True,0.12903225806451613,0.1290322580645161,0.12903225806451613,0.1290322580645161,0.12903225806451613,0.1290322580645161
logit_logodds_90,True,True,True,True,True,True,True,True,True,0.16129032258064516,0.16129032258064518,0.16129032258064516,0.16129032258064518,0.16129032258064516,0.16129032258064518
probe,True,True,True,True,True,True,True,True,True,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839
head,True,True,True,True,True,True,True,True,True,0.8387096774193549,0.8387096774193545,0.8387096774193549,0.8387096774193545,0.8387096774193549,0.8387096774193545
length_baseline,True,True,True,True,True,True,True,True,True,0.12903225806451613,0.1290322580645161,0.12903225806451613,0.1290322580645161,0.12903225806451613,0.1290322580645161
ensemble,True,True,True,True,True,True,True,True,True,0.25806451612903225,0.2746774193548387,0.25806451612903225,0.27387096774193553,0.25806451612903225,0.27338709677419354
